student_id,full_name,course_code,course_name,year,semester,metu_credit,ects_credit,letter_grade
2587000,İrem Yıldız,3580105,PHY105 GENERAL PHYSICS I,1,1,4(3-2),6.5,BA
2587000,İrem Yıldız,3580105,PHY105 GENERAL PHYSICS I,1,1,4(3-2),6.5,BA
2587000,İrem Yıldız,3550111,CNG111 INTRODUCTION TO COMPUTER ENG. CONCEPTS,1,1,4(3-2),4.0,CB
2587000,İrem Yıldız,3550101,CNG101 COMPUTER ENGINEERING ORIENTATION,1,1,0(2-0),1.0,BA
2587000,İrem Yıldız,3590101,ENGL101 DEVELOPMENT OF READING AND WRITING SKILLS I,1,1,4(4-0),6.0,DC
2587000,İrem Yıldız,3570120,MAT120 CALCULUS FOR FUNCTIONS OF SEVERAL VARIABLES,1,2,5(4-2),7.5,CB
2587000,İrem Yıldız,3580106,PHY106 GENERAL PHYSICS II,1,2,4(3-2),6.5,AA
2587000,İrem Yıldız,3570260,MAT260 BASIC LINEAR ALGEBRA,1,2,3(3-0),5.0,AA
2587000,İrem Yıldız,3530100,BUS100 CAREER PLANNING,1,2,0(1-0),2.0,BB
2587000,İrem Yıldız,3550140,CNG140 C PROGRAMMING,1,2,4(3-2),4.0,BB
2587000,İrem Yıldız,3560281,EEE281 ELECTRICAL CIRCUITS,2,3,4(3-2),6.0,DC
2587000,İrem Yıldız,3590211,ENGL211 ACADEMIC ORAL PRESENTATION SKILLS,2,3,3(3-0),4.0,DD
2587000,İrem Yıldız,3570219,MAT219 INTRODUCTION TO DIFFERENTIAL EQUATIONS,2,3,4(4-0),7.0,DC
2587000,İrem Yıldız,3550223,CNG223 DISCRETE COMPUTATIONAL STRUCTURES,2,3,3(3-0),6.0,CC
2587000,İrem Yıldız,3610101,TUR101 TURKISH I,2,3,0(2-0),2.0,CC
2587000,İrem Yıldız,3550242,CNG242 PROGRAMMING LANGUAGE CONCEPTS,2,4,4(3-2),7.0,BA
2587000,İrem Yıldız,3630221,STAS221 STATISTICS FOR ENGINEERS I,2,4,3(3-0),5.0,DD
